Name,Quantity,Supplier,"Price /$",Link,,,,,,,,,,,,,,,,,,,,,
"Supermini NRF52840 Development Board",1,Aliexpress,"$5","https://ar.aliexpress.com/item/1005006035267231.html?spm=a2g0o.detail.pcDetailTopMoreOtherSeller.1.4f5c3Dl93Dl9oM&gps-id=pcDetailTopMoreOtherSeller&scm=1007.40050.354490.0&scm_id=1007.40050.354490.0&scm-url=1007.40050.354490.0&pvid=5977580c-2a3b-43c5-83e2-d0faca92a754&_t=gps-id%3ApcDetailTopMoreOtherSeller%2Cscm-url%3A1007.40050.354490.0%2Cpvid%3A5977580c-2a3b-43c5-83e2-d0faca92a754%2Ctpp_buckets%3A668%232846%238107%231934&pdp_ext_f=%7B""order""%3A""1040""%2C""eval""%3A""1""%2C""sceneId""%3A""30050""%2C""fromPage""%3A""recommend""%7D&pdp_npi=6%40dis%21USD%214.58%214.58%21%21%214.58%214.58%21%40212a6e3217792034453826856e982f%2112000035421753155%21rec%21AE%213090569466%21X%211%210%21n_tag%3A-29919%3Bd%3Aff4fb74f%3Bm03_new_user%3A-29895&utparam-url=scene%3ApcDetailTopMoreOtherSeller%7Cquery_from%3A%7Cx_object_id%3A1005006035267231%7C_p_origin_prod%3A",,,,,,,,,,,,,,,,,,,,,
"Dual Axis Joystick",1,Aliexpress,"$2","https://ar.aliexpress.com/item/1005004552647663.html?spm=a2g0o.detail.pcDetailBottomMoreOtherSeller.3.4e6cBvMfBvMfJd&gps-id=pcDetailBottomMoreOtherSeller&scm=1007.40050.354490.0&scm_id=1007.40050.354490.0&scm-url=1007.40050.354490.0&pvid=515e744e-b703-4ea6-b250-2ba9c0ed9d04&_t=gps-id:pcDetailBottomMoreOtherSeller,scm-url:1007.40050.354490.0,pvid:515e744e-b703-4ea6-b250-2ba9c0ed9d04,tpp_buckets:668%232846%238107%231934&pdp_ext_f=%7B""order""%3A""68""%2C""eval""%3A""1""%2C""sceneId""%3A""30050""%2C""fromPage""%3A""recommend""%7D&pdp_npi=6%40dis%21USD%212.15%212.15%21%21%212.15%212.15%21%40212a6e3217792036300132829e982f%2112000029583802640%21rec%21AE%213090569466%21X%211%210%21n_tag%3A-29919%3Bd%3Aff4fb74f%3Bm03_new_user%3A-29895&utparam-url=scene%3ApcDetailBottomMoreOtherSeller%7Cquery_from%3A%7Cx_object_id%3A1005004552647663%7C_p_origin_prod%3A",,,,,,,,,,,,,,,,,,,,,
"Mx Swtiches (Pack of 10)",`1,Alixpress,"$2","https://ar.aliexpress.com/item/1005012046294210.html?spm=a2g0o.productlist.main.11.5e47qZ5NqZ5NGh&algo_pvid=ad134a8a-5784-41da-8573-56ac852ea7fc&algo_exp_id=ad134a8a-5784-41da-8573-56ac852ea7fc-10&pdp_ext_f=%7B""order""%3A""7""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D&pdp_npi=6%40dis%21USD%2112.55%215.52%21%21%2184.87%2137.34%21%402102f0c917792036832868185e9a08%2112000057360279602%21sea%21AE%213090569466%21X%211%210%21n_tag%3A-29919%3Bd%3Aff4fb74f%3Bm03_new_user%3A-29895&curPageLogUid=pdOTt1xmWxan&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005012046294210%7C_p_origin_prod%3A",,,,,,,,,,,,,,,,,,,,,
"Mx Swtiches (Pack of 10)",`1,Alixpress,"$2","https://ar.aliexpress.com/item/1005012046294210.html?spm=a2g0o.productlist.main.11.5e47qZ5NqZ5NGh&algo_pvid=ad134a8a-5784-41da-8573-56ac852ea7fc&algo_exp_id=ad134a8a-5784-41da-8573-56ac852ea7fc-10&pdp_ext_f=%7B""order""%3A""7""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D&pdp_npi=6%40dis%21USD%2112.55%215.52%21%21%2184.87%2137.34%21%402102f0c917792036832868185e9a08%2112000057360279602%21sea%21AE%213090569466%21X%211%210%21n_tag%3A-29919%3Bd%3Aff4fb74f%3Bm03_new_user%3A-29895&curPageLogUid=pdOTt1xmWxan&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005012046294210%7C_p_origin_prod%3A",,,,,,,,,,,,,,,,,,,,,
"MCP23017 GPIO expander",1,Aliexpress,"$3","https://ar.aliexpress.com/item/1005009219211233.html?spm=a2g0o.productlist.main.7.5593yNLAyNLAqc&aem_p4p_detail=20260519081752152611411338750000129070&algo_pvid=ff209d46-ab8a-4f6b-8b43-1be2dfe8b189&algo_exp_id=ff209d46-ab8a-4f6b-8b43-1be2dfe8b189-6&pdp_ext_f=%7B""order""%3A""114""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D&pdp_npi=6%40dis%21USD%212.76%212.76%21%21%212.76%212.76%21%40212a70c017792038725917934e6ceb%2112000048356077604%21sea%21AE%213090569466%21X%211%210%21n_tag%3A-29919%3Bd%3Aff4fb74f%3Bm03_new_user%3A-29895&curPageLogUid=HVpjK0uXniRQ&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009219211233%7C_p_origin_prod%3A&search_p4p_id=20260519081752152611411338750000129070_6",,,,,,,,,,,,,,,,,,,,,
"Chip Socket",1,Aliexpress,"$1.50","https://ar.aliexpress.com/item/1005007089348090.html?spm=a2g0o.productlist.main.4.c820muo9muo95G&aem_p4p_detail=2026051908192913608418686538480000124685&algo_pvid=99732268-1134-45dd-bedd-dde03bca6830&algo_exp_id=99732268-1134-45dd-bedd-dde03bca6830-3&pdp_ext_f=%7B""order""%3A""149""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D&pdp_npi=6%40dis%21USD%210.85%210.85%21%21%215.72%215.72%21%400b1bf20817792039697364292ee5fc%2112000039361104279%21sea%21AE%213090569466%21X%211%210%21n_tag%3A-29919%3Bd%3Aff4fb74f%3Bm03_new_user%3A-29895&curPageLogUid=1FdpneEqxz4B&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007089348090%7C_p_origin_prod%3A&search_p4p_id=2026051908192913608418686538480000124685_1",,,,,,,,,,,,,,,,,,,,,
"OLED screen 128x64",1,Aliexpress,"$4","https://ar.aliexpress.com/item/1005010757795534.html?spm=a2g0o.productlist.main.13.447fJshqJshq97&algo_pvid=4ca5662e-4374-4c17-999d-cb38b8739ace&algo_exp_id=4ca5662e-4374-4c17-999d-cb38b8739ace-12&pdp_ext_f=%7B""order""%3A""26""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D&pdp_npi=6%40dis%21USD%218.34%213.83%21%21%2156.40%2125.94%21%4021010d9017792040590841087e2fce%2112000053411729727%21sea%21AE%213090569466%21X%211%210%21n_tag%3A-29919%3Bd%3Aff4fb74f%3Bm03_new_user%3A-29895&curPageLogUid=hi639f06tMoG&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010757795534%7C_p_origin_prod%3A",,,,,,,,,,,,,,,,,,,,,
"Toggle switch",1,Aliexpress,"$2.50","https://ar.aliexpress.com/item/1005007354903637.html?spm=a2g0o.productlist.main.12.344515baQ2KvXo&algo_pvid=fd3e80d6-0584-4b66-b693-bbf6d3dcbf02&algo_exp_id=fd3e80d6-0584-4b66-b693-bbf6d3dcbf02-27&pdp_ext_f=%7B""order""%3A""42""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D&pdp_npi=6%40dis%21USD%212.84%211.70%21%21%2119.22%2111.53%21%40210123bc17792041702397277e2fcf%2112000040398139194%21sea%21AE%213090569466%21X%211%210%21n_tag%3A-29919%3Bd%3Aff4fb74f%3Bm03_new_user%3A-29895&curPageLogUid=vx2Nf84bDKCp&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007354903637%7C_p_origin_prod%3A",,,,,,,,,,,,,,,,,,,,,
"Lipo battery 2000mah",1,Aliexpress,"$11","https://ar.aliexpress.com/item/1005008347608135.html?spm=a2g0o.detail.pcDetailTopMoreOtherSeller.11.6ac2KNh5KNh55O&gps-id=pcDetailTopMoreOtherSeller&scm=1007.40050.354490.0&scm_id=1007.40050.354490.0&scm-url=1007.40050.354490.0&pvid=7e92a985-16cf-4b20-b5e5-079aa345d096&_t=gps-id%3ApcDetailTopMoreOtherSeller%2Cscm-url%3A1007.40050.354490.0%2Cpvid%3A7e92a985-16cf-4b20-b5e5-079aa345d096%2Ctpp_buckets%3A668%232846%238107%231934&pdp_ext_f=%7B""order""%3A""700""%2C""spu_best_type""%3A""price""%2C""eval""%3A""1""%2C""sceneId""%3A""30050""%2C""fromPage""%3A""recommend""%7D&pdp_npi=6%40dis%21USD%218.11%215.68%21%21%2154.81%2138.37%21%40212a6e3217792046463128991e982f%2112000044682810370%21rec%21AE%213090569466%21X%211%210%21n_tag%3A-29919%3Bd%3Aff4fb74f%3Bm03_new_user%3A-29895&utparam-url=scene%3ApcDetailTopMoreOtherSeller%7Cquery_from%3A%7Cx_object_id%3A1005008347608135%7C_p_origin_prod%3A",,,,,,,,,,,,,,,,,,,,,
Miselleneous,,,"$2",,,,,,,,,,,,,,,,,,,,,,
,,,"Total: 35",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
