"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"BT1","1","Battery_Cell","","","","Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical",""
"D1,D2","2","LED","","","","LED_THT:LED_D5.0mm",""
"J1","1","OLED_128x64","","","","ScottoKeebs_Components:OLED_128x64",""
"J2","1","Conn_01x04_Pin","","","","small _yoystick:footprint25.8 * 25.8",""
"R1,R2","2","4.7k","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",""
"R3","1","10k","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",""
"R4,R5","2","300","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",""
"SW1,SW2,SW3,SW4,SW5,SW6,SW7,SW8,SW9,SW10,SW11","11","Switch","","","","ScottoKeebs_MX:MX_PCB_1.00u",""
"SW12","1","SW_Nidec_CAS-120A1","","","","Toggle switch:SW_Toggle_Blue_wSlots","https://www.nidec-components.com/e/catalog/switch/cas.pdf"
"U1","1","MCP23017x-x-SP","","","","Package_DIP:DIP-28_W7.62mm","https://ww1.microchip.com/downloads/aemDocuments/documents/APID/ProductDocuments/DataSheets/MCP23017-Data-Sheet-DS20001952.pdf"
